review,rating
ads slop HOLY,1
"Where are the NEW LEVELS? Orig Review: So v.many ads. (Once again-- there's really no value for those of us that don't have a Facebook account or use Android/Google Play instead of Apple accounts, since it renders the MyVIP rewards virtually useless and unable to be claimed. Wish they translated to something I could actually use.)",1
"so far from what I have been able to play of this game is that it's a good version of Tetris, especially considering you can play it on your phone.",5
Update** They now took away reward system and coins. i had over 1million coins which i have been waiting to use to get money off on a cruise which with 1million could be upwards of $1000 off and now I have nothing. A year of saving up for nothing. complete BS. terrible app. loved this app before all the recent changes. now its way harder to get coins to get rewards. and the rewards need certain levels now which are also almost unattainable for a casual player that doesnt play all day every day,1
Forced Add after every single level. Annoying,1
"The Tetris implementation is a reasonable ""Guideline"" Tetris, other than the elimination of the Hold mechanic. The levels have modest creativity, and it understands what it wants to be - a basic mobile Tetris. Unfortunately, it is dragged down by one of the more annoying frequencies of ads by the already oft-ad-happy PLAYSTUDIOS, though that is counterbalanced a little by at least charging a fair rate for skipping the forced ads. No myVIP anymore either. Overall, it's acceptable, not great.",3
"For a game as successful as Tetris, I didn't think restarting the app would lose my hour of ad-free playtime. I really thought it'd be able to track something like that. I was looking forward to it for a couple days lol and I just lost the whole hour. I am so disappointed that I don't even want to bother with this app anymore lol",1
"Decent, has tetris, adds in levels and other events along with classic mode. Unfortunately will autoplay full screen ads from normal playing. Also seems to be a decent drain on battery/processing.",2
very buggy and straight up crashed on the second level,1
"Played the game for like...5 mins. The over the top animations really irritated me and I hated the controls. I don't need anything flashy, I just want to play classic Tetris. Is that too much to ask?",1
IT WONT OPEN ON MY S25,1
"sad that Tetris ""needs"" ads",2
"GENUINELY ANNOYING TO PLAY 90% of the time there's a pop-up for the other tetris game, that i can't close because ot doesn't fit my phones screen size, the other 10% is the most Boring, annoying, and absolute bs gameplay I've EVER SEEN the worst part? even though its a tetris game, you can't connect a controller or keyboard to play it. I'd have more fun in tetr.io, and I haaaaaaaaate that fangame for its sweaty players",1
unplayable i can't even get past the log in screen I've deleted and redownload the game and still the same problem,1
"why can't it just be like the old Tetris, I don't want little 30 second levels that end quickly, nobody wants that",1
Ok but too many ads and trying to get you to spend money.,2
IRRITATTING!!! The sound plays even with the setting is off!! ALWAYS happens when connecting earphones or Bluetooth devices. FIX IT!!,2
"I really don't want to sign in using facebook. The way it gives just one ""level"" at a time had me uninstall after two levels. All I want is to start blank and go from there uninterrupted. This isn't what I'm looking for.",2
There are way too many temu adds that go way too long. Waste of an install. came back to try again and are adds are even worse. Game basically non functional due to adds that have no exit no matter how long you wait.,1
The ads are obnoxious and sometimes interupt the game itself,3
pathetic.... just after installing the game says to reset to restart....not even opened for once,1
it's not working at all with me l deleted it and downloaded again still not working,1
dumb version of Tetris,1
